algorithm_name, process_count, plaintext_length, time_to_run_ns
text_encryption_algorithm,8,5000,21135625
text_encryption_algorithm,8,5000,291741250
text_encryption_algorithm,8,5000,74838083
text_encryption_algorithm,8,10000,20160583
text_encryption_algorithm,8,10000,34931166
text_encryption_algorithm,8,10000,42610500
text_encryption_algorithm,8,10000,107859000
text_encryption_algorithm,8,10000,18389500
text_encryption_algorithm,8,10000,107298666
text_encryption_algorithm,8,10000,16703333
text_encryption_algorithm,8,10000,178599208
text_encryption_algorithm,8,10000,114781375
text_encryption_algorithm,8,10000,76293375
text_encryption_algorithm,8,27854,25564125
text_encryption_algorithm,8,27854,39184500
text_encryption_algorithm,8,27854,89232583
text_encryption_algorithm,8,27854,137919709
text_encryption_algorithm,8,27854,101895250
text_encryption_algorithm,8,27854,33391125
text_encryption_algorithm,8,27854,67900250
text_encryption_algorithm,8,27854,30012250
text_encryption_algorithm,8,27854,23858625
text_encryption_algorithm,8,27854,54616500
text_encryption_algorithm,10,500,42993834
text_encryption_algorithm,10,500,64629292
text_encryption_algorithm,10,500,247656459
text_encryption_algorithm,10,500,129310959
text_encryption_algorithm,10,500,95474750
text_encryption_algorithm,10,500,134926375
text_encryption_algorithm,10,500,207363000
text_encryption_algorithm,10,500,383424959
text_encryption_algorithm,10,500,243560084
text_encryption_algorithm,10,500,146499625
text_encryption_algorithm,10,1000,19236584
text_encryption_algorithm,10,1000,71804792
text_encryption_algorithm,10,1000,82857542
text_encryption_algorithm,10,1000,114885916
text_encryption_algorithm,10,1000,68922416
text_encryption_algorithm,10,1000,206623459
text_encryption_algorithm,10,1000,123648375
text_encryption_algorithm,10,1000,139538417
text_encryption_algorithm,10,1000,91758875
text_encryption_algorithm,10,1000,171354375
text_encryption_algorithm,10,2000,26570667
text_encryption_algorithm,10,2000,127773333
text_encryption_algorithm,10,2000,48693917
text_encryption_algorithm,10,2000,195808500
text_encryption_algorithm,10,2000,190041166
text_encryption_algorithm,10,2000,138947083
text_encryption_algorithm,10,2000,117845917
text_encryption_algorithm,10,2000,222590834
text_encryption_algorithm,10,2000,117286375
text_encryption_algorithm,10,2000,226791875
text_encryption_algorithm,10,5000,26731042
text_encryption_algorithm,10,5000,483424041
text_encryption_algorithm,10,5000,162073750
text_encryption_algorithm,10,5000,113319833
text_encryption_algorithm,10,5000,530841958
text_encryption_algorithm,10,5000,397347291
text_encryption_algorithm,10,5000,171567042
text_encryption_algorithm,10,5000,139438708
text_encryption_algorithm,10,5000,64267542
text_encryption_algorithm,10,5000,78982834
text_encryption_algorithm,10,10000,17640375
text_encryption_algorithm,10,10000,100634417
text_encryption_algorithm,10,10000,121513958
text_encryption_algorithm,10,10000,40462208
text_encryption_algorithm,10,10000,119108500
text_encryption_algorithm,10,10000,144198750
text_encryption_algorithm,10,10000,164884083
text_encryption_algorithm,10,10000,138692333
text_encryption_algorithm,10,10000,200374042
text_encryption_algorithm,10,10000,133495875
text_encryption_algorithm,10,27854,23795709
text_encryption_algorithm,10,27854,79955584
text_encryption_algorithm,10,27854,60705375
text_encryption_algorithm,10,27854,70152833
text_encryption_algorithm,10,27854,35645000
text_encryption_algorithm,10,27854,180940250
text_encryption_algorithm,10,27854,64633250
text_encryption_algorithm,10,27854,138286500
text_encryption_algorithm,10,27854,43300250
text_encryption_algorithm,10,27854,73117000
